competitions_id,teamId,team_rank,totalTeams,profile_id_str,flags,team_capacity,members_num
3887,100062,774,1784,cubbeewan;tinnulion;artemvoronin0;galacticf,1,56.61434978,4
3897,100071,41,949,anshul;dixitgaurav,1,95.6796628,2
3897,100146,259,949,sarumobjects;uwebaier,1,72.7081138,2
7082,1001862,32,5163,alexryzhkov;chesnokov,1,99.38020531,2
7162,1001887,315,1081,priyankaselvan;priyaselvan;kumarbhrgv;sudeepgalgali,1,70.86031452,4
3800,100189,14,200,qtieng;minchen0;ashwinyadav,1,93,3
7082,1002062,1977,5163,bkam235;namorx68,1,61.70830912,2
3926,100260,247,472,mangirdas;jarutis,1,47.66949153,2
3887,100330,10,1784,joseffeigl;davutpolat,1,99.43946188,2
3641,100383,194,267,alexlebedev0;gidonro;oshr2192531,1,27.34082397,3
7115,1004522,36,626,leecming;angeugn,1,94.24920128,2
7082,1004955,1850,5163,twi5ter;kaivangala;abahl88,1,64.16811931,3
7082,1005240,4656,5163,iankurgarg;jaydeeprane,1,9.819872167,2
3641,100547,46,267,kazanova;vivant,1,82.77153558,2
3887,100751,807,1784,sbykov;alexander24,1,54.76457399,2
3887,100828,567,1784,lasitha1991;hashinisenaratne,1,68.21748879,2
3926,100872,52,472,dulangasashika;nadeeshaangunasinghe;thilinamrt,1,88.98305085,3
3926,100967,106,472,tharindudr;mihilr;sajithdilshan;vimuth,1,77.54237288,4
7162,1009940,655,1081,bear00712;lin100750011,1,39.4079556,2
3800,101003,21,200,george04;davidnola,1,89.5,2
7162,1010469,296,1081,benbenbang;elpiro,1,72.61794635,2
3926,101073,74,472,chamathsajeewa;tharinduwijewardane,1,84.3220339,2
3926,101075,143,472,supungothama;shamikagunaratne;chathuragamage;mihirigunatunge,1,69.70338983,4
7163,1011647,357,575,calestini;cathyha,1,37.91304348,2
7082,1013677,2294,5163,ruiromanini;jessicacc,1,55.56846794,2
7082,1014132,2652,5163,pedropgoncalves;eduardomissawa,1,48.63451482,2
7391,1015395,660,1674,talanolus;monnoroch,1,60.5734767,2
7082,1015499,3008,5163,arthurlpgc;plal17;crepe3;carnero,1,41.73929886,4
2551,10160,27,924,jeremyachin;tomdegodoy,1,97.07792208,2
7391,1016708,97,1674,justfor;cbrioso,1,94.20549582,2
7391,1016797,211,1674,sanarasheed;zusmani,1,87.39545998,2
7391,1017013,917,1674,buinyi;lyapen,1,45.22102748,2
7082,1017179,4197,5163,zeenzuft;cloudly,1,18.7100523,2
7391,1017454,1580,1674,sorooshnazem;soheil,1,5.615292712,2
7043,1018743,71,162,timon88;digitalchaos666,1,56.17283951,2
7082,1020145,882,5163,zhengneng;kylexy999,1,82.91690877,2
7082,1020976,795,5163,wwb203;huaweicern,1,84.6019756,2
7391,1021097,440,1674,ujjwal9;codename007,1,73.71565114,2
7391,1021135,1561,1674,ireneteinemaa;cbentes,1,6.750298686,2
7391,1023145,1337,1674,camontanezp;jfcgon,1,20.13142174,2
3800,102376,62,200,idaniboy;timpluta,1,69,2
3887,102400,926,1784,hggshntr;baggins1;guyeng,1,48.0941704,3
7163,1024195,136,575,hyunjonglee;lancifollia,1,76.34782609,2
3897,102545,38,949,linhe194269;jeffhe,1,95.99578504,2
3887,102579,90,1784,dremovd;sashab,1,94.95515695,2
7082,1025992,3046,5163,jachlo;mizioan,1,41.00329266,2
3926,102618,155,472,jiweiliu;xueerchen,1,67.16101695,2
7380,1026645,224,3341,mindcool;aloisiodn,1,93.29542053,2
7380,1026810,615,3341,crailtap;timjoseph,1,81.59233762,2
7380,1027027,774,3341,prashanthmex;deepakgeorge,1,76.83328345,2
3933,102703,303,313,thumarrushik;vishalshukla,1,3.194888179,2
7380,1027171,638,3341,jiweiliu;fengari;timone;chlxyd,1,80.90392098,4
7380,1027594,31,3341,vzsolt;sgalib;lyakaap,1,99.07213409,3
7380,1027707,848,3341,anax64;rboyes,1,74.61837773,2
7380,1027746,377,3341,dygger;foxyveta,1,88.71595331,2
7380,1027752,79,3341,c1ozbek;fatihozturk,1,97.63543849,2
7380,1028036,2876,3341,alfo512;lmosser,1,13.91798863,2
7380,1028090,2452,3341,wswuai;huangdaoxu,1,26.60879976,2
7082,1028392,294,5163,virgodata;mubashir44,1,94.30563626,2
7082,1028394,297,5163,nasrullah;virgoanalytics;hamzaashraf,1,94.24753051,3
