competitions_id,teamId,team_rank,totalTeams,profile_id_str,flags,team_capacity,members_num,avg_abi,avg_qua,avg_par,country_num
3887,100062,774,1784,cubbeewan;tinnulion;artemvoronin0;galacticf,1,56.61 ,4,0.23 ,2521.25 ,4.50 ,1
3897,100071,41,949,anshul;dixitgaurav,1,95.68 ,2,1.00 ,2973.00 ,25.50 ,2
3897,100146,259,949,sarumobjects;uwebaier,1,72.71 ,2,0.02 ,2713.00 ,2.00 ,2
7082,1001862,32,5163,alexryzhkov;chesnokov,1,99.38 ,2,4.12 ,2665.00 ,40.50 ,1
7162,1001887,315,1081,priyankaselvan;priyaselvan;kumarbhrgv;sudeepgalgali,1,70.86 ,4,0.01 ,1895.00 ,2.25 ,2
3800,100189,14,200,qtieng;minchen0;ashwinyadav,1,93.00 ,3,0.62 ,2513.33 ,2.33 ,3
7082,1002062,1977,5163,bkam235;namorx68,1,61.71 ,2,0.09 ,1657.00 ,1.50 ,1
3926,100260,247,472,mangirdas;jarutis,1,47.67 ,2,0.16 ,3096.00 ,2.00 ,1
3887,100330,10,1784,joseffeigl;davutpolat,1,99.44 ,2,7.25 ,3107.00 ,34.50 ,2
3641,100383,194,267,alexlebedev0;gidonro;oshr2192531,1,27.34 ,3,0.34 ,2829.33 ,2.67 ,2
7115,1004522,36,626,leecming;angeugn,1,94.25 ,2,2.52 ,1402.00 ,7.00 ,1
7082,1004955,1850,5163,twi5ter;kaivangala;abahl88,1,64.17 ,3,0.04 ,1830.00 ,1.00 ,1
7082,1005240,4656,5163,iankurgarg;jaydeeprane,1,9.82 ,2,0.01 ,1461.00 ,1.50 ,1
3641,100547,46,267,kazanova;vivant,1,82.77 ,2,30.82 ,2873.00 ,111.00 ,2
3887,100751,807,1784,sbykov;alexander24,1,54.76 ,2,0.02 ,2518.00 ,1.50 ,1
3887,100828,567,1784,lasitha1991;hashinisenaratne,1,68.22 ,2,0.02 ,2526.50 ,1.00 ,1
3926,100872,52,472,dulangasashika;nadeeshaangunasinghe;thilinamrt,1,88.98 ,3,0.16 ,2528.33 ,2.00 ,1
3926,100967,106,472,tharindudr;mihilr;sajithdilshan;vimuth,1,77.54 ,4,0.06 ,2516.50 ,7.75 ,1
7162,1009940,655,1081,bear00712;lin100750011,1,39.41 ,2,0.01 ,1299.50 ,4.00 ,1
3800,101003,21,200,george04;davidnola,1,89.50 ,2,0.66 ,2912.00 ,12.00 ,1
7162,1010469,296,1081,benbenbang;elpiro,1,72.62 ,2,0.04 ,1629.50 ,1.00 ,1
3926,101073,74,472,chamathsajeewa;tharinduwijewardane,1,84.32 ,2,0.16 ,2524.00 ,1.50 ,1
3926,101075,143,472,supungothama;shamikagunaratne;chathuragamage;mihirigunatunge,1,69.70 ,4,0.02 ,2520.75 ,1.50 ,1
7163,1011647,357,575,calestini;cathyha,1,37.91 ,2,0.05 ,1831.00 ,1.00 ,1
7082,1013677,2294,5163,ruiromanini;jessicacc,1,55.57 ,2,0.12 ,1670.50 ,4.00 ,1
7082,1014132,2652,5163,pedropgoncalves;eduardomissawa,1,48.63 ,2,0.01 ,1293.00 ,1.50 ,1
7391,1015395,660,1674,talanolus;monnoroch,1,60.57 ,2,0.08 ,2231.50 ,9.50 ,2
7082,1015499,3008,5163,arthurlpgc;plal17;crepe3;carnero,1,41.74 ,4,0.04 ,1493.75 ,1.25 ,1
2551,10160,27,924,jeremyachin;tomdegodoy,1,97.08 ,2,2.91 ,3603.50 ,7.50 ,1
7391,1016708,97,1674,justfor;cbrioso,1,94.21 ,2,3.57 ,2010.00 ,41.50 ,1
